ID,IC50(nM),SMILES
46230519,94.0,C1=CC=C(C=C1)OC2=CC=C(C=C2)C3=C(SC(=N3)NC4=CC5=CC=CC=C5C=C4)CC(=O)O
3145355,89.0,C1=CC=C(C=C1)OC2=CC=C(C=C2)C3=C(SC(=N3)NC4=CC=C(C=C4)F)CC(=O)O
3145335,130.0,C1=CC=C(C=C1)OC2=CC=C(C=C2)C3=C(SC(=N3)NC4=CC=CC=C4Cl)CC(=O)O
1001787,210.0,C1=CC=C(C=C1)OC2=CC=C(C=C2)C3=C(SC(=N3)NC4=CC=CC=C4F)CC(=O)O
46230091,93.0,C1=CC=C(C=C1)OC2=CC=C(C=C2)C3=NC(=C(S3)CC(=O)O)C4=CC=C(C=C4)Cl
46229890,160.0,C1=CC=C(C=C1)OC2=CC=CC=C2CC3=NC(=C(S3)CC(=O)O)C4=CC=C(C=C4)Cl
69315080,1400.0,C1=CC=C(C=C1)OCCCCSC2=NC3=CC=CC=C3N2CC(=O)O
69319076,786.0,C1=CC=C(C=C1)OCCCSC2=NC3=CC=CC=C3N2CC(=O)O
2772705,590.0,C1=CC=C(C=C1)OCCSC2=NC3=CC=CC=C3N2CC(=O)O
127033311,47.0,C1=CC=C(C=C1)S(=O)(=O)C2=CC=CC=C2CC3=C4N=C(C=CN4C(=C3)CC(=O)O)C(F)(F)F
127030245,3000.0,C1=CC=C(C=C1)S(=O)(=O)C2=CC=CC=C2CC3=NC(=C4N3C=CC=C4)CC(=O)O
127034111,65.0,C1=CC=C(C=C1)S(=O)(=O)C2=CC=CC=C2CN3C(=O)C4=CC=CC=C4C(=N3)CC(=O)O
127030244,1600.0,C1=CC=C(C=C1)S(=O)(=O)C2=CC=CC=C2CN3C4=C(C=CC=N4)N(S3(=O)=O)CC(=O)O
127031171,860.0,C1=CC=C(C=C1)S(=O)(=O)C2=CC=CC=C2CN3C=C(C=C(C3=O)Cl)CC(=O)O
127031170,10000.0,C1=CC=C(C=C1)S(=O)(=O)C2=CC=CC=C2CN3C=C(C=CC3=O)CC(=O)O
45486044,47.0,C1=CC=C(C=C1)S(=O)(=O)NC2=C(C=CC(=C2)C(=O)N)OC3=CC=CC(=C3)CC(=O)O
45486016,680.0,C1=CC=C(C=C1)S(=O)(=O)NC2=C(C=CC(=C2)Cl)OC3=CC=CC(=C3)CC(=O)O
59644626,860.0,C1=CC=C(C=C1)S(=O)(=O)NC2=CC=CC=C2OC3=CC=CC(=C3)CC(=O)O
46229990,250.0,C1=CC=C(C=C1)SCC2=NC(=C(S2)CC(=O)O)C3=CC=C(C=C3)Cl
1268975,500.0,C1=CC=C2C(=C1)C(=CN2CC(=O)O)C=C(C#N)C(=O)NC3=CC(=CC=C3)Br
70681415,10.0,C1=CC=C2C(=C1)C(=CN=C2C(=O)C3=CC=C(C=C3)C(=O)NC4=CC(=C(C=C4)Cl)Cl)CC(=O)O
72737191,8.200000000000001,C1=CC=C2C(=C1)C(=CN=C2C(=O)C3=CC=C(C=C3)C(=O)NC4=CC=C(C=C4)Cl)CC(=O)O
72737383,3.7,C1=CC=C2C(=C1)C(=CN=C2C(=O)C3=CC=C(C=C3)C(=O)NCCC4=CC(=C(C=C4)Cl)Cl)CC(=O)O
56653781,7.8,C1=CC=C2C(=C1)C(=CN=C2C(=O)C3=CC=C(C=C3)C(=O)NCCC4=CC=C(C=C4)Cl)CC(=O)O
56592488,25.0,C1=CC=C2C(=C1)C(=CN=C2C(=O)C3=CC=C(C=C3)C(=O)NCCC4=CC=C(C=C4)Cl)OCC(=O)O
46701878,13.0,C1=CC=C2C(=C1)C(=CN=C2C(=O)C3=CC=C(C=C3)NC(=O)C4=CC(=C(C=C4)Cl)Cl)CC(=O)O
70683533,3.2,C1=CC=C2C(=C1)C(=CN=C2C(=O)C3=CC=C(C=C3)NC(=O)C4=CC(=CC=C4)Cl)CC(=O)O
72736855,7.8,C1=CC=C2C(=C1)C(=CN=C2C(=O)C3=CC=C(C=C3)NC(=O)C4=CC=C(C=C4)C#N)CC(=O)O
70691974,4.8999999999999995,C1=CC=C2C(=C1)C(=CN=C2C(=O)C3=CC=C(C=C3)NC(=O)C4=CC=C(C=C4)C(F)(F)F)CC(=O)O
70685629,3.4,C1=CC=C2C(=C1)C(=CN=C2C(=O)C3=CC=C(C=C3)NC(=O)C4=CC=C(C=C4)Cl)CC(=O)O
72736854,8.7,C1=CC=C2C(=C1)C(=CN=C2C(=O)C3=CC=C(C=C3)NC(=O)C4=CC=C(C=C4)OC(F)(F)F)CC(=O)O
72737190,9.9,C1=CC=C2C(=C1)C(=CN=C2C(=O)C3=CC=C(C=C3)NC(=O)C4=CC=C(C=C4)[N+](=O)[O-])CC(=O)O
70687781,45.0,C1=CC=C2C(=C1)C(=CN=C2C(=O)C3=CC=C(C=C3)NC(=O)C4=CC=CC=C4Cl)CC(=O)O
76320915,48.0,C1=CC=C2C(=C1)C(=CN=C2C(=O)C3=CC=C(C=C3)NC(=O)C4=CC=CC=N4)CC(=O)O
70696139,83.0,C1=CC=C2C(=C1)C(=CN=C2C(=O)C3=CC=C(C=C3)NC(=O)C4=CC=NC=C4)CC(=O)O
72736700,67.0,C1=CC=C2C(=C1)C(=CN=C2C(=O)C3=CC=C(C=C3)NC(=O)C4=CSC=N4)CC(=O)O
70696140,290.0,C1=CC=C2C(=C1)C(=CN=C2C(=O)C3=CC=C(C=C3)NC(=O)C4=NC=CC=N4)CC(=O)O
72736699,322.0,C1=CC=C2C(=C1)C(=CN=C2C(=O)C3=CC=C(C=C3)NC(=O)C4=NN=CC=C4)CC(=O)O
70681414,4.0,C1=CC=C2C(=C1)C(=CN=C2C(=O)C3=CC=C(C=C3)NC(=O)C=CC4=CC(=C(C=C4)Cl)Cl)CC(=O)O
72737020,15.0,C1=CC=C2C(=C1)C(=CN=C2C(=O)C3=CC=C(C=C3)NC(=O)CC4=CC(=C(C=C4)Cl)Cl)CC(=O)O
70683534,13.0,C1=CC=C2C(=C1)C(=CN=C2C(=O)C3=CC=C(C=C3)NC(=O)CCC4=CC(=C(C=C4)Cl)Cl)CC(=O)O
67007529,13.0,C1=CC=C2C(=C1)C(=CN=C2C(=O)C3=CC=C(C=C3)NC(=O)NC4=CC(=C(C=C4)Cl)Cl)CC(=O)O
67008149,5.2,C1=CC=C2C(=C1)C(=CN=C2C(=O)C3=CC=C(C=C3)NC(=O)OCC4=CC(=C(C=C4)Cl)Cl)CC(=O)O
67008500,6.1000000000000005,C1=CC=C2C(=C1)C(=CN=C2C(=O)C3=CC=C(C=C3)NCC4=CC(=C(C=C4)Cl)Cl)CC(=O)O
67008150,340.0,C1=CC=C2C(=C1)C(=CN=C2C(=O)C3=CC=C(C=C3)NS(=O)(=O)C4=CC(=C(C=C4)Cl)Cl)CC(=O)O
67007255,38.0,C1=CC=C2C(=C1)C(=CN=C2C(=O)C3=CC=C(C=C3)OCC4=CC(=C(C=C4)Cl)Cl)CC(=O)O
56654115,12.0,C1=CC=C2C(=C1)C(=CN=C2C(=O)C3=CC=C(C=C3)OCCC4=CC=C(C=C4)Cl)CC(=O)O
72737384,11.0,C1=CC=C2C(=C1)C(=CN=C2C(=O)C3=CC=C(C=C3)OCCCC4=CC=C(C=C4)Cl)CC(=O)O
46865311,4300.0,C1=CC=C2C(=C1)C3=C(S2(=O)=O)C=C(C=C3)C#CC4=C(C=CC(=C4)Cl)OCC(=O)O
