SMILES,IC50(nM),ID
CCCCN(C(=O)/C(C#N)=C/c1cn(CC(=O)O)c2ccccc12)c1ccccc1,20.0,CHEMBL2391513
CCCCNC(=O)c1ccc(Cc2ccc(CC(=O)O)cc2OC)c(NS(=O)(=O)c2ccc(Cl)cc2Cl)c1,2.0,CHEMBL1950871
CCCCNC(=O)c1ccc(OC)c(CSc2nc3cc(F)ccc3n2CC(=O)O)c1,28.5,CHEMBL2048199
CCCCNC(=O)c1ccc(Oc2cc(F)c(CC(=O)O)cc2F)c(NS(=O)(=O)c2ccc(Cl)cc2Cl)c1,18.0,CHEMBL1951566
CCCCNC(=O)c1ccc(Oc2ccc(C(F)(F)C(=O)O)cc2OC)c(NS(=O)(=O)c2ccc(Cl)cc2Cl)c1,420.0,CHEMBL1933763
CCCCNC(=O)c1ccc(Oc2ccc(CC(=O)NS(C)(=O)=O)cc2OC)c(NS(=O)(=O)c2ccc(Cl)cc2Cl)c1,330.0,CHEMBL1933765
CCCCNC(=O)c1ccc(Oc2ccc(CC(=O)O)cc2C#N)c(NS(=O)(=O)c2ccc(Cl)cc2Cl)c1,114.0,CHEMBL1951565
CCCCNC(=O)c1ccc(Oc2ccc(CC(=O)O)cc2C)c(NS(=O)(=O)c2ccc(Cl)cc2Cl)c1,14.5,CHEMBL1951562
CCCCNC(=O)c1ccc(Oc2ccc(CC(=O)O)cc2Cl)c(NS(=O)(=O)c2ccc(Cl)cc2Cl)c1,48.0,CHEMBL1951563
CCCCNC(=O)c1ccc(Oc2ccc(CC(=O)O)cc2F)c(NS(=O)(=O)c2ccc(Cl)cc2Cl)c1,58.5,CHEMBL1951564
CCCCNC(=O)c1ccc(Oc2ccc(CC(=O)O)cc2OC)c(NCCc2ccccc2)c1,110.0,CHEMBL1933768
CCCCNC(=O)c1ccc(Oc2ccc(CC(=O)O)cc2OC)c(NCc2ccc(Cl)cc2)c1,230.0,CHEMBL1933767
CCCCNC(=O)c1ccc(Oc2ccc(CC(=O)O)cc2OC)c(NS(=O)(=O)c2c(Cl)cccc2Cl)c1,596.0,CHEMBL1951560
CCCCNC(=O)c1ccc(Oc2ccc(CC(=O)O)cc2OC)c(NS(=O)(=O)c2cc(Cl)cc(Cl)c2)c1,2530.0,CHEMBL1951558
CCCCNC(=O)c1ccc(Oc2ccc(CC(=O)O)cc2OC)c(NS(=O)(=O)c2cc(Cl)ccc2Cl)c1,38.5,CHEMBL1951557
CCCCNC(=O)c1ccc(Oc2ccc(CC(=O)O)cc2OC)c(NS(=O)(=O)c2ccc(C(F)(F)F)cc2Cl)c1,25.5,CHEMBL1951561
CCCCNC(=O)c1ccc(Oc2ccc(CC(=O)O)cc2OC)c(NS(=O)(=O)c2ccc(Cl)c(Cl)c2)c1,14.0,CHEMBL1951556
CCCCNC(=O)c1ccc(Oc2ccc(CC(=O)O)cc2OC)c(NS(=O)(=O)c2ccc(Cl)cc2)c1,4.0,CHEMBL1933766
CCCCNC(=O)c1ccc(Oc2ccc(CC(=O)O)cc2OC)c(NS(=O)(=O)c2ccc(Cl)cc2Cl)c1,3.0,CHEMBL589973
CCCCNC(=O)c1ccc(Oc2ccc(CC(=O)O)cc2OC)c(NS(=O)(=O)c2cccc(Cl)c2Cl)c1,166.0,CHEMBL1951559
CCCCNC(=O)c1ccc(Oc2ccc(CC(=O)O)cc2OC)c(S(=O)(=O)Nc2ccc(Cl)cc2)c1,76.0,CHEMBL1933914
CCCCNC(=O)c1ccc(Oc2ccc(CC(=O)O)cn2)c(NS(=O)(=O)c2ccc(Cl)cc2Cl)c1,310.0,CHEMBL1950865
CCCCNC(=O)c1ccc(Oc2ccc(CC(=O)O)nc2)c(NS(=O)(=O)c2ccc(Cl)cc2Cl)c1,10.0,CHEMBL1950866
